id,yld_local_bid,yld_local_ask,asw_local_bid,asw_local_mid,yld_xccy_usd,asw_xccy_usd,yld_cbbt,yld_bgn,dur,z30_asw_local,z90_asw_local,s30_asw_local,s90_asw_local,date,Unnamed: 0,flag_badyld,flag_badasw,flag_badz,id_type
91282CDJ7,1.784,1.782,-5.319,5.572,1.782,5.572,1.772,1.772,8.828,-1.826,-1.069,0.848,1.529,20220128,,False,False,False,cusip9
91282CDQ1,1.618,1.616,-6.155,-6.391,1.616,-6.391,1.611,1.611,4.688,0.252,0.252,0.634,0.634,20220128,,False,False,False,cusip9
91282CDR9,1.147,1.144,-14.465,-14.678,1.145,-14.678,1.14,1.14,1.881,0.563,0.601,0.991,0.985,20220128,,False,False,False,cusip9
91282CDS7,1.382,1.38,-13.385,-13.551,1.38,-13.551,1.376,1.376,2.885,-1.377,-1.377,0.632,0.632,20220128,,False,False,False,cusip9
91282CDN8,1.365,1.361,-14.109,-14.278,1.363,-14.278,1.357,1.357,2.799,0.035,-0.028,1.569,1.477,20220128,,False,False,False,cusip9
91282CDP3,1.747,1.744,-2.171,-2.367,1.743,-2.367,1.736,1.736,6.451,-1.845,-1.845,0.737,0.737,20220128,,False,False,False,cusip9
912828Z78,1.621,1.618,-6.367,-6.601,1.619,-6.601,1.614,1.614,4.796,0.429,0.466,0.808,5.613,20220128,,False,False,False,cusip9
91282CCS8,1.778,1.776,-5.339,-5.595,1.775,-5.595,1.766,1.766,8.575,-1.173,0.03,0.883,5.273,20220128,,False,False,False,cusip9
BT2893878,0.252,0.247,-15.559,-16.121,1.83,-0.879,0.248,0.249,9.876,0.238,0.238,0.216,0.216,20220128,,False,False,False,cusip9
BT4287343,0.183,0.178,-13.55,-14.529,1.814,1.453,0.18,0.18,8.112,-0.932,-0.932,0.171,0.171,20220128,,False,False,False,cusip9
91282CDK4,1.612,1.609,-6.5,-6.738,1.61,-6.738,1.604,1.604,4.612,0.014,0.585,0.886,0.922,20220128,,False,False,False,cusip9
302154DN6,2.349,2.321,49.514,48.042,2.329,48.042,2.332,2.4,8.742,0.778,0.778,2.055,2.055,20220128,,False,False,False,cusip9
298785JQ0,1.699,1.695,0.761,0.494,1.696,0.494,1.699,1.693,4.862,1.086,1.086,0.938,0.938,20220128,,False,False,False,cusip9
91282CCB5,1.769,1.767,-5.441,-5.702,1.768,-5.702,1.758,1.758,8.531,-0.714,0.152,0.979,5.31,20220128,,False,False,False,cusip9
BT4352949,0.255,0.25,-15.441,-16.015,1.835,-0.586,0.252,0.252,9.97,0.354,0.354,0.109,0.109,20220128,,False,False,False,cusip9
91282CBL4,1.765,1.762,-5.478,-5.74,1.762,-5.74,1.754,1.754,8.137,-0.481,0.21,1.048,5.256,20220128,,False,False,False,cusip9
BQ0597931,0.233,0.231,-14.759,-15.552,1.827,-0.216,0.233,0.233,9.312,0.807,1.18,1.946,1.664,20220128,,False,False,False,cusip9
500769JR6,1.446,1.442,-8.078,-8.314,1.444,-8.314,1.448,1.441,2.923,,,,,20220128,,False,False,False,cusip9
US91282CDM01,1.126,1.12,-15.061,-15.389,1.122,-15.495,1.121,1.121,1.794,0.909,1.352,1.581,1.725,20220128,,False,False,False,isin
BLBMG36,1.699,1.695,1.568,1.349,1.696,1.349,1.695,1.693,4.728,0.329,0.329,0.705,0.705,20220128,,False,False,False,sedol
US302154DL06,1.669,1.651,14.633,13.716,1.658,13.716,1.697,1.74,2.86,2.142,2.142,4.623,4.623,20220128,,False,False,False,isin
31359MEU3,1.822,1.794,7.583,5.862,1.837,5.862,1.804,1.804,7.981,-0.919,-0.826,2.513,4.25,20220128,,False,False,False,cusip9
50064FAQ7,2.011,1.987,23.425,22.094,2.006,22.094,2.003,2.055,6.974,-0.041,0.492,1.644,4.693,20220128,,False,False,False,cusip9
BR4447305,-0.089,-0.093,-23.845,-24.608,1.582,-9.666,-0.092,-0.092,4.927,-0.319,-0.661,0.226,0.908,20220128,,False,False,False,cusip9
BKSCVS2,1.354,1.346,-11.291,-11.68,1.349,-11.68,1.349,1.343,2.552,,,,,20220128,,False,False,False,sedol
912828XB1,1.438,1.426,-11.979,-12.617,1.434,-12.617,1.427,1.427,3.252,0.491,0.2,1.021,5.706,20220128,,False,False,False,cusip9
BM3710217,-0.21,-0.213,-28.056,-28.934,1.464,-14.246,-0.21,-0.21,3.797,1.135,0.45,1.082,2.468,20220128,,False,False,False,cusip9
91282CBV2,1.222,1.212,-14.549,-15.098,1.215,-15.098,1.214,1.214,2.148,0.237,0.234,1.127,4.918,20220128,,False,False,False,cusip9
BJ3916126,1.89,1.886,-27.534,-27.846,1.216,-59.088,1.887,1.9,7.89,,,,,20220128,,False,False,False,cusip9
135087K52,1.463,1.457,-56.119,-57.197,1.125,-40.576,1.456,1.456,2.996,-0.271,-0.267,3.552,3.071,20220128,,False,False,False,cusip9
91282CCT6,1.292,1.282,-15.56,-16.037,1.285,-16.037,1.284,1.284,2.461,0.281,0.387,1.49,5.49,20220128,,False,False,False,cusip9
EJ5066257,-0.708,-0.712,-28.056,-29.263,0.736,-22.948,-0.711,-0.711,1.063,-0.751,0.4,2.213,5.293,20220128,,False,False,False,cusip9
912828P38,0.773,0.75,-15.956,-17.12,0.757,-17.12,0.755,0.755,0.999,1.778,0.768,1.794,4.846,20220128,,False,False,False,cusip9
US91282CBJ99,1.715,1.71,-2.167,-2.455,1.709,-2.455,1.706,1.706,5.542,-0.441,0.165,1.088,5.221,20220128,,False,False,False,isin
135087L77,1.016,1.005,-36.729,-37.285,0.752,-17.853,1.021,1.021,0.984,-1.06,-0.354,3.569,3.933,20220128,,False,False,False,cusip9
AS2566667,1.331,1.316,-25.394,-26.133,1.525,-6.459,1.32,1.317,3.512,-0.609,0.841,3.02,8.054,20220128,,False,False,False,cusip9
91282CAG6,0.504,0.47,-14.347,-16.014,0.483,-16.348,0.486,0.486,0.575,0.85,0.573,1.893,4.441,20220128,,False,False,False,cusip9
ZR2368408,1.551,1.529,-16.127,-18.497,1.081,-13.512,1.525,1.56,1.545,-1.918,-2.474,1.441,1.313,20220128,,False,False,False,cusip9
BLB23Z7,1.82,1.813,0.433,-0.089,1.811,-0.089,1.815,1.815,7.653,,,,,20220128,,False,False,False,sedol
91282CAT8,1.517,1.508,-9.093,-9.576,1.51,-9.576,1.508,1.508,3.55,0.145,0.243,0.813,5.472,20220128,,False,False,False,cusip9
683234AT5,1.778,1.771,13.422,13.025,1.77,13.025,1.762,1.762,3.978,,,,,20220128,,False,False,False,cusip9
912828YE4,1.302,1.29,-15.676,-16.309,1.296,-16.309,1.293,1.293,2.536,0.253,0.327,1.378,5.681,20220128,,False,False,False,cusip9
912828X88,1.639,1.631,-5.901,-6.333,1.638,-6.333,1.627,1.627,5.18,-0.818,0.128,0.712,5.449,20220128,,False,False,False,cusip9
AS1463080,0.088,0.082,-2.245,-3.176,1.772,13.123,0.085,0.086,4.267,0.344,-0.571,0.202,0.389,20220128,,False,False,False,cusip9
BP0924236,-0.422,-0.433,-63.461,-65.192,1.204,-28.788,-0.429,-0.429,2.83,-2.277,-2.343,2.279,2.652,20220128,,False,False,False,cusip9
ZR4204064,0.197,0.19,-0.702,-1.653,1.875,14.724,0.198,0.198,5.726,0.424,-0.583,0.195,0.425,20220128,,False,False,False,cusip9
ZP6059494,0.392,0.374,7.38,5.835,2.032,23.212,0.38,0.394,7.834,1.063,1.228,0.309,0.261,20220128,,False,False,False,cusip9
US69376P2B06,1.967,1.957,19.985,19.437,1.958,19.437,1.959,1.955,6.247,-1.731,-2.361,1.059,1.054,20220128,,False,False,False,isin
AV1248054,0.252,0.247,0.515,-0.633,1.932,16.803,0.252,0.251,6.935,0.882,1.045,0.303,0.26,20220128,,False,False,False,cusip9
BH1660522,-0.247,-0.254,2.531,1.245,1.352,11.952,-0.251,-0.252,1.664,-1.873,-1.383,0.287,0.884,20220128,,False,False,False,cusip9
XS2243329807,1.314,1.282,-21.512,-23.028,1.53,-8.472,1.301,1.3,3.683,-1.157,0.581,2.409,7.13,20220128,,False,False,False,isin
AN1046738,-0.134,-0.147,0.997,-0.501,1.517,14.918,-0.138,-0.161,2.213,,,,,20220128,,False,False,False,cusip9
BP7726667,-0.078,-0.087,-19.487,-20.586,1.594,-5.488,-0.083,-0.08,4.357,-1.361,-0.421,1.142,2.016,20220128,,False,False,False,cusip9
JK6982579,0.052,0.047,-5.738,-6.642,1.735,9.451,0.053,0.056,4.248,-0.383,-1.213,0.236,0.667,20220128,,False,False,False,cusip9
AL2413741,-0.124,-0.169,-9.509,-12.3,0.446,2.207,-0.135,-0.081,0.327,0.009,1.19,3.701,4.019,20220128,,False,False,False,cusip9
AX6137175,0.209,0.198,10.011,8.782,1.901,25.627,0.198,0.198,4.314,-0.002,-0.93,0.256,0.366,20220128,,False,False,False,cusip9
BN2612610,-0.12,-0.12,-47.751,-48.734,1.461,-35.516,-0.12,-0.12,9.24,-1.535,-0.911,1.646,3.432,20220128,,False,False,False,cusip9
